Question	Gold	Top3_Distractors	Q_Coarse	Q_Fine	Gold_spaCy	Candidate_Type
When did Alexis Phifer and Kanye West get engaged?	August 2006	['spring 2006', 'August 2008', 'August 2003']	None	None	DATE	{'DATE'}	
Who did Kanye date from 2008 to 2010?	Amber Rose	['Chance the Rapper', 'Kanye West', 'Damon Dash']	None	None	PERSON	{'PERSON'}	
When did Kanye West start dating Kim Kardashian?	April 2012	['April 2015', 'March 6, 2012', 'January 5, 2012']	None	None	DATE	{'DATE'}	
Where in Jerusalem did Kardashian and West have their daughter North baptised?	Armenian Apostolic Church at the Cathedral of St. James	['an original date of April 14, 2009', 'the twenty-first century', 'the first quarter of 2015']	None	None	DATE	{'DATE'}	
How old was Kanye's mother when she died?	58	[]	None	None	None	set()	
What doctor did Donda West ignore the recommendation of to invest her heart condition?	Andre Aboolian	['Roc La Familia', 'Chuck D of', 'Paul McCartney']	None	None	PERSON	{'PERSON'}	
At approximately what time did paramedics receive the call about Kanye West's mother, Donda?	7:35 pm	[]	None	None	None	set()	
What condition along with complications for the plastic surgery caused the death of Donda West?	heart disease	[]	None	None	None	set()	
What doctor originally turned Donda West down for her plastic surgery operation?	Andre Aboolian	['Roc La Familia', 'Paul McCartney', 'Chuck D of']	None	None	PERSON	{'PERSON'}	
What was the name of the doctor who performed the surgery that ended up killing Donda West?	Jan Adams	['LL Cool J', 'Shayla G.', 'Zane Lowe']	None	None	PERSON	{'PERSON'}	
What talk show did the doctor who performed Donda West's plastic surgery appear on?	Larry King Live	['Gretchen Wilson', 'Sergio Pizzorno', 'Chuck D of']	None	None	PERSON	{'PERSON'}	
What was the final cause of Donda's death determined by the coroner?	"coronary artery disease and multiple post-operative factors due to or as a consequence of liposuction and mammoplasty"	[]	None	None	None	set()	
What was the name of the West's family's attorney during the incident surrounding the death of Donda West?	Ed McPherson	['Robert "Evel', "Donda West's", "Foxy Brown's"]	None	None	PERSON	{'PERSON'}	
What reasons did West's family give for filing complaints against Adams and Aboolian?	violating patient confidentiality	[]	None	None	None	set()	
On what show did Adams appear to "defend himself"?	Larry King Live	['Gretchen Wilson', 'Sergio Pizzorno', 'Chuck D of']	None	None	PERSON	{'PERSON'}	
On what day did the final coroner's report show that Donda died from heart disease and complications from surgery?	January 10, 2008	['January 26, 2016', 'February 2, 2016', 'February 8, 2015']	None	None	DATE	{'DATE'}	
Where was Donda West's funeral?	Oklahoma City	['New York City', 'new singles', 'the United States']	None	None	GPE	{'GPE'}	
What songs did Kanye dedicate to his late mother as his performance at The O2 in London?	"Hey Mama", as well as a cover of Journey's "Don't Stop Believin'"	[]	None	None	None	set()	
In what city was the funeral and burial for Donda West held?	Oklahoma City	['New York City', 'new singles', 'the United States']	None	None	GPE	{'GPE'}	
On what day was the funeral of Donda West?	November 20, 2007	['November 10, 2007', 'November 26, 2013', 'November 14, 2008']	None	None	DATE	{'DATE'}	
What day was Kanye's first concert after the death of his mother?	November 22	['a year later', 'the decade', 'Later that year']	None	None	DATE	{'DATE'}	
On what tour did Kanye perform "Hey Mama" and his version of Journey's "Don't Stop Believing" in memory of his mother?	Glow in the Dark tour	[]	None	None	None	set()	
Where did Kanye first speak on his mother's death?	New Zealand	['new singles', 'Culver City', 'Los Angeles']	None	None	GPE	{'GPE'}	
Where did Kanye West first speak about his mother's death?	New Zealand	['new singles', 'Culver City', 'Los Angeles']	None	None	GPE	{'GPE'}	
What famous governor signed legislation in honor of Donda West's death?	Arnold Schwarzenegger	['Simon Vozick-Levinson', 'Don "Don C." Crowley', 'John "Monopoly" Johnson']	None	None	PERSON	{'PERSON'}	
What governor passed a law in honor of Donda West?	Arnold Schwarzenegger	['Simon Vozick-Levinson', 'Don "Don C." Crowley', 'Noah Callahan-Bever']	None	None	PERSON	{'PERSON'}	
What was the name of the law passed by Arnold Schwarzenegger?	"Donda West Law"	['Christian', 'Chinese', 'Hungarian']	None	None	NORP	{'NORP'}	
What famous stuntman sued Kanye for purported use of his likeness in 2006?	Robert "Evel" Knievel	['the Album of the Year', 'December 17, 2010', 'December 21, 2013']	None	None	DATE	{'DATE'}	
When was the suit settled?	days before his death in November 2007	[]	None	None	None	set()	
Which celebrity sued West in 2006 for trademark infrigement?	Robert "Evel" Knievel	['the Album of the Year', 'December 17, 2010', 'December 21, 2013']	None	None	DATE	{'DATE'}	
What was the name of the nickname Kanye West took on in his video "Touch the Sky"?	Evel Kanyevel	['Gold Digger', 'Keep the Receipt', 'Hot Shot Debut']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
When did Knievel settle the argument with West?	November 2007	['November 2008', 'November 2010', 'November 2013']	None	None	DATE	{'DATE'}	
What was Kanye arrested for in 2008?	felony vandalism	[]	None	None	None	set()	
How much was Kanye's bail bond?	$20,000	[]	None	None	None	set()	
What was Kanye finally charged with?	one count of misdemeanor vandalism, one count of grand theft and one count of battery	[]	None	None	None	set()	
On what day was Kanye West arrested at the Los Angeles International Airport?	September 11, 2008	['September 26, 2008', 'September 13, 2009', 'September 2, 2005']	None	None	DATE	{'DATE'}	
What were the charges filed against Kanye West?	felony vandalism	[]	None	None	None	set()	
What was the name of the bodyguard also accused of vandalism?	Don "Don C." Crowley	['Chance the Rapper', 'Don Crowley', 'Yasiin Bey / Mos Def']	None	None	PERSON	{'PERSON'}	
What was the dollar amount of Kanye's bond?	$20,000	[]	None	None	None	set()	
What was Kanye second arrest for?	scuffle involving a photographer outside the famous Tup Tup Palace nightclub in Newcastle	[]	None	None	None	set()	
What was the date of Kanye's second arrest?	November 14, 2008	['November 10, 2007', 'November 20, 2007', 'November 26, 2013']	None	None	DATE	{'DATE'}	
Where was Kanye arrested at for the second time?	Hilton hotel near Gateshead	['Chinese', 'European', 'Christian']	None	None	NORP	{'NORP'}	
At what location did the incident leading to West's second arrest take place?	Tup Tup Palace nightclub	[]	None	None	None	set()	
What paparazzi member did Kanye attack at LAX in 2013?	Daniel Ramos	['berimbau', 'sex/', 'Ed McPherson']	None	None	PERSON	{'PERSON'}	
What was Kanye convicted for after his paparazzi attack?	misdemeanor criminal battery and attempted grand theft	['the following four years', 'Season 2 later that year', 'the twenty-first century']	None	None	DATE	{'DATE'}	
What was the name of the man who was hassling West outside of LAX that West later attacked?	Daniel Ramos	['berimbau', 'sex/', 'Chance the Rapper']	None	None	PERSON	{'PERSON'}	
How many years' probation was Kanye supposed to serve for this altercation?	2	[]	None	None	None	set()	
He had to attend 24 sessions of what kind of therapy?	anger management	['the 21st century', 'the past decade', 'the previous year']	None	None	DATE	{'DATE'}	
How many hours of community service did Kanye receive?	250	[]	None	None	None	set()	
What are Kanye's religious beliefs?	Christian	['Hungarian', 'Kasabian', 'Aboolian']	None	None	NORP	{'NORP'}	
"Jesus Walks" was on which of Kanye's albums?	The College Dropout	['We Are Your Friends', 'Keep the Receipt', 'Gold Digger']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
September of 2014, Kanye called himself a what during one of his concerts?	Christian	['Hungarian', 'Jews', 'Kasabian']	None	None	NORP	{'NORP'}	
How is Kanye viewed as a 21st century artist?	among the most critically acclaimed	['August 20 - December 17, 2010', 'January 10, 2008', 'January 26, 2016']	None	None	DATE	{'DATE'}	
What famous English artist was Kanye compared to by The Guardian?	David Bowie	['Don Crowley', 'John Legend', 'Happy Lewis']	None	None	PERSON	{'PERSON'}	
What reporter compared Kanye West to a lightning rod?	Jon Caramanic	['Stevie Wonder', 'Janet Jackson', 'DW Kanye West']	None	None	PERSON	{'PERSON'}	
Who said Kanye West was the greatest hip hop artist of all time?	Ben Westhoff	['Ed McPherson', 'Jeremy Scott', 'Jeff Bhasker']	None	None	PERSON	{'PERSON'}	
What magazine compared Kanye to David Bowie?	The Guardian	[]	None	None	None	set()	
What overabundance of themes did Kanye criticize early in his career?	homophobia in hip hop	[]	None	None	None	set()	
The shift away from what genre of rap is Kanye credited for?	gangsta rap	[]	None	None	None	set()	
What kind of background did Kanye West grow up in?	middle-class	[]	None	None	None	set()	
Who did Kanye West have a sales competition with during his album release of Graduation?	50 Cent	['250,000', '25', '20,000']	None	None	MONEY	{'MONEY'}	
Who said that Kanye West effectively led a new wave of artists that weren't only interested in rapping about gunplay or drug dealing?	Ben Detrick	['John Legend', 'Don Crowley', 'Nicki Minaj']	None	None	PERSON	{'PERSON'}	
A number of artists have cited Kanye as being what to them?	influential	[]	None	None	None	set()	
Who complimented West in Time Magazine?	inventor Elon Musk	[]	None	None	None	set()	
How many songs has Kanye had that have exceeded 3 million digital sales?	6	[]	None	None	None	set()	
How many songs has Kanye sold digitally in his career?	over 30 million	['over 2.3 million', '100 million', '3 million']	None	None	CARDINAL	{'CARDINAL'}	
How many of West's six albums have gone platinum?	6	[]	None	None	None	set()	
What was Kanye's fifth consecutive number one album?	Yeezus	['Facts', 'Clique', 'Gold Digger']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
As of 2012, how many downloads have there been of "Golddigger"?	3,086,000	["Cam'ron", '4,000,000', '3,742,000']	None	None	CARDINAL	{'CARDINAL'}	
What rank is West in total sales for the last decade?	third	['first', 'First', 'fifth']	None	None	ORDINAL	{'ORDINAL'}	
How many total digital songs has Kanye West sold in the US?	30 million	[]	None	None	None	set()	
How many Grammies has Kanye won as of 2013?	21	['20', '24', '50']	None	None	CARDINAL	{'CARDINAL'}	
With which artist does Kanye tie with for reaching the top of the annual Pazz & Jop Critic Poll?	Bob Dylan	['Spears', 'LL Cool J', 'Shayla G.']	None	None	PERSON	{'PERSON'}	
How many times has Kanye placed in the annual Time Magazine people list?	twice	[]	None	None	None	set()	
In 2013, West had won how many total Grammy Awards?	21	['20', '24', '13']	None	None	CARDINAL	{'CARDINAL'}	
What rank did About.com give Kanye "Top 50 Hip-Hop Producers" list?	8	['1', '3', '50']	None	None	CARDINAL	{'CARDINAL'}	
On what day did MTV name Kanye as the year's Number 1 "Hottest MC in the Game."?	May 16, 2008	['the same week', 'Several days', 'May 24, 2014']	None	None	DATE	{'DATE'}	
December 17, 2010 was the day Kanye was nominated by MTV for what?	MTV Man of the Year	[]	None	None	None	set()	
What musician did West tie with for topping the annual Pazz & Jop critic poll 4 times each?	Bob Dylan	['Spears', 'LL Cool J', 'Shayla G.']	None	None	PERSON	{'PERSON'}	
How many of Kanye's albums placed on the 2012 Rolling Stone list?	3	['1', '8', '50']	None	None	CARDINAL	{'CARDINAL'}	
How many of West's albums were included on Rolling Stone's 500 Greatest Albums of All Time list?	3	['1', '8', '50']	None	None	CARDINAL	{'CARDINAL'}	
Which one of Kanye's albums won The Pitchfork's Album of the Decade (so far) award?	My Beautiful Dark Twisted Fantasy	['the American Music Awards of 2004', 'The Atlanta Journal-Constitution', 'the International Herald Tribune']	None	None	ORG	{'ORG'}	
What place did Yeezus secure on the list of 100 albums?	eighth	['fourth', 'second', 'fifth']	None	None	ORDINAL	{'ORDINAL'}	
What online music publication ranked Kanye's album "My Beautiful Dark Twisted Fantasy" as the world's best album so far?	The Pitchfork	['Stevie Wonder', 'Janet Jackson', 'DW Kanye West']	None	None	PERSON	{'PERSON'}	
What album was ranked 8 on a list of 100 albums?	Yeezus	['Facts', 'Clique', 'Gold Digger']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What song was ranked third in a list of 200 "best tracks" since 2010?	"Runaway"	[]	None	None	None	set()	
What President did Kanye West insult on air in 2005?	George W. Bush	['George Michael', 'George Bush', 'Roc La Familia']	None	None	PERSON	{'PERSON'}	
Whose speech did Kanye West ruin at the 2009 MTV Awards?	Taylor Swift	['Ed McPherson', "Foxy Brown's", 'Phil Collins']	None	None	PERSON	{'PERSON'}	
What fashion items does Kanye West design?	clothing and footwear	[]	None	None	None	set()	
What company did Kanye West begin?	DONDA	['Dark', 'Music', 'My Beautiful Dark Twisted Fantasy']	None	None	ORG	{'ORG'}	
What year did Kanye West begin working with Adidas?	2013	['annual', '2010', '2012']	None	None	DATE	{'DATE'}	
What type of religion is Buddhism?	nontheistic	[]	None	None	None	set()	
What are the practices of Buddhism based on?	teachings attributed to Gautama Buddha	["the Gautama Buddha's", 'Siddhartha Gautama', 'the Tao Te Ching']	None	None	PERSON	{'PERSON'}	
Where did the Buddha live?	present-day Nepal	['the Kushan Empire', 'Nichiren Buddhism', 'the West Buddhism']	None	None	GPE	{'GPE'}	
How do Buddhists believe their suffering can be ended?	through the direct understanding and perception of dependent origination and the Four Noble Truths	['more than 12 million', 'lifetimes as one', 'six hundred']	None	None	CARDINAL	{'CARDINAL'}	
What did the Buddha teach should be given up to end suffering?	ignorance and craving	[]	None	None	None	set()	
What type of religion is Buddhism?	nontheistic religion	[]	None	None	None	set()	
Who's teaching is Buddhism based upon?	Gautama Buddha	['Amitabha Buddha', 'Akira Hirakawa', 'Akṣobhya Buddha']	None	None	PERSON	{'PERSON'}	
When was Buddha alive?	between the 6th and 4th centuries BCE	['the second half of the 20th Century', 'the 2nd or 3rd centuries', 'the late nineteenth and early twentieth centuries']	None	None	DATE	{'DATE'}	
Where did Buddha reside when he was alive?	present-day Nepal	['the Kushan Empire', 'Nichiren Buddhism', 'the West Buddhism']	None	None	GPE	{'GPE'}	
Who's teachings is Buddhism based upon?	Gautama Buddha	['Akira Hirakawa', 'Siddhartha Gautama', 'Amitabha Buddha']	None	None	PERSON	{'PERSON'}	
Where was Buddha thought to live?	Nepal	['Japan', 'China', 'India']	None	None	GPE	{'GPE'}	
When approximately was Buddha alive?	sometime between the 6th and 4th centuries BCE	['the late nineteenth and early twentieth centuries', 'the second half of the 20th Century', 'the 2nd or 3rd centuries']	None	None	DATE	{'DATE'}	
Buddhism is based on the teaching of who?	Gautama Buddha	['Akira Hirakawa', 'Siddhartha Gautama', 'Amitabha Buddha']	None	None	PERSON	{'PERSON'}	
How many noble truths are there?	4	['2', '1', '9']	None	None	CARDINAL	{'CARDINAL'}	
Buddha was part of what subcontinent?	Indian	['Asian', 'Persian', 'African']	None	None	NORP	{'NORP'}	
